alert_id,zone_id,zone_name,date,month,temperature_mean,humidity_mean,rainfall,drought_risk,alert_type,severity,message,recommended_action
1,1,Nabeul,2025-01-02,1,13.0,87,11.3,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
2,1,Nabeul,2025-01-03,1,12.8,81,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
3,1,Nabeul,2025-01-04,1,13.7,77,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
4,1,Nabeul,2025-01-05,1,14.0,79,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
5,1,Nabeul,2025-01-06,1,14.8,62,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
6,1,Nabeul,2025-01-07,1,14.2,67,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
7,1,Nabeul,2025-01-08,1,13.4,66,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
8,1,Nabeul,2025-01-09,1,14.5,63,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
9,1,Nabeul,2025-01-10,1,15.3,72,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
10,1,Nabeul,2025-01-11,1,15.3,68,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
11,1,Nabeul,2025-01-15,1,10.5,73,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
12,1,Nabeul,2025-01-16,1,10.4,72,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
13,1,Nabeul,2025-01-19,1,11.6,77,0.1,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
14,1,Nabeul,2025-01-20,1,11.8,73,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
15,1,Nabeul,2025-01-21,1,12.2,80,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
16,1,Nabeul,2025-01-22,1,13.9,77,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
17,1,Nabeul,2025-01-23,1,15.3,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
18,1,Nabeul,2025-01-24,1,14.5,67,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
19,1,Nabeul,2025-01-25,1,13.3,81,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
20,1,Nabeul,2025-01-26,1,16.0,64,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
21,1,Nabeul,2025-01-27,1,14.5,75,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
22,1,Nabeul,2025-01-30,1,12.1,74,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
23,1,Nabeul,2025-01-31,1,13.1,76,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
24,1,Nabeul,2025-02-01,2,12.2,90,34.0,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
25,1,Nabeul,2025-02-02,2,12.1,74,0.4,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
26,1,Nabeul,2025-02-03,2,11.3,76,0.5,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
27,1,Nabeul,2025-02-05,2,12.2,78,0.0,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
28,1,Nabeul,2025-02-07,2,10.3,91,10.8,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
29,1,Nabeul,2025-02-08,2,12.1,90,20.7,low,High humidity,Medium,Humidity level is high and may increase fungal disease risk.,Recommend fungicides and crop protection products.
30,1,Nabeul,2025-02-09,2,11.9,76,0.3,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
31,1,Nabeul,2025-02-10,2,12.6,76,0.2,medium,Low rainfall,Medium,Rainfall is very low for a climate-sensitive zone.,Recommend irrigation products and soil moisture support.
