recommendation_id,product_id,product_name,category,zone_id,zone_name,forecast_month,forecast_method,drought_risk,humidity_mean,rainfall,weather_reference_period,predicted_quantity,stock_quantity,climate_score,stock_score,demand_score,final_score,priority,recommendation_reason
1,1,NPK Fertilizer 20-20-20,Fertilizers,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,4.92,16,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
2,1,NPK Fertilizer 20-20-20,Fertilizers,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,4.08,16,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
3,1,NPK Fertilizer 20-20-20,Fertilizers,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,6.83,16,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
4,1,NPK Fertilizer 20-20-20,Fertilizers,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.0,16,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
5,1,NPK Fertilizer 20-20-20,Fertilizers,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,2.17,16,0,-15,5,-10,Low,"stock is low, recommendation priority reduced; predicted demand is limited but present"
6,2,Organic Compost Mix,Soil treatment,1,Nabeul,2026-06,Historical monthly mean,medium,63.2,0.07,2025-06-01 to 2025-06-30,6.58,132,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
7,2,Organic Compost Mix,Soil treatment,2,Sfax,2026-06,Historical monthly mean,medium,58.73,0.0,2025-06-01 to 2025-06-30,3.17,132,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
8,2,Organic Compost Mix,Soil treatment,3,Beja,2026-06,Historical monthly mean,medium,50.8,0.04,2025-06-01 to 2025-06-30,8.58,132,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
9,2,Organic Compost Mix,Soil treatment,4,Kairouan,2026-06,Historical monthly mean,medium,42.33,0.05,2025-06-01 to 2025-06-30,5.33,132,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
10,2,Organic Compost Mix,Soil treatment,5,Gabes,2026-06,Historical monthly mean,medium,58.37,0.0,2025-06-01 to 2025-06-30,4.08,132,35,20,5,60,Medium,low rainfall supports irrigation or soil treatment products; medium drought risk increases climate-related product relevance; stock availability is sufficient; predicted demand is limited but present
