forecast_id,product_id,product_name,category,zone_id,zone_name,forecast_month,historical_quantity,predicted_quantity,stock_quantity,forecast_method,recommendation_note
1,1,NPK Fertilizer 20-20-20,Fertilizers,1,Nabeul,2026-06,4.0,5.78,16,"ARIMA(1,1,1)",Stock level appears sufficient
2,1,NPK Fertilizer 20-20-20,Fertilizers,2,Sfax,2026-06,0.0,5.65,16,"ARIMA(1,1,1)",Stock level appears sufficient
3,1,NPK Fertilizer 20-20-20,Fertilizers,3,Beja,2026-06,12.0,6.65,16,"ARIMA(1,1,1)",Stock level appears sufficient
4,1,NPK Fertilizer 20-20-20,Fertilizers,4,Kairouan,2026-06,0.0,0.0,16,"ARIMA(1,1,1)",Stock level appears sufficient
5,1,NPK Fertilizer 20-20-20,Fertilizers,5,Gabes,2026-06,0.0,2.63,16,"ARIMA(1,1,1)",Stock level appears sufficient
6,2,Organic Compost Mix,Soil treatment,1,Nabeul,2026-06,0.0,6.41,132,"ARIMA(1,1,1)",Stock level appears sufficient
7,2,Organic Compost Mix,Soil treatment,2,Sfax,2026-06,0.0,1.23,132,"ARIMA(1,1,1)",Stock level appears sufficient
8,2,Organic Compost Mix,Soil treatment,3,Beja,2026-06,0.0,5.3,132,"ARIMA(1,1,1)",Stock level appears sufficient
9,2,Organic Compost Mix,Soil treatment,4,Kairouan,2026-06,21.0,10.81,132,"ARIMA(1,1,1)",Stock level appears sufficient
10,2,Organic Compost Mix,Soil treatment,5,Gabes,2026-06,0.0,5.96,132,"ARIMA(1,1,1)",Stock level appears sufficient
11,3,Tomato Seeds Premium,Irrigation products,1,Nabeul,2026-06,4.0,9.11,51,"ARIMA(1,1,1)",Stock level appears sufficient
12,3,Tomato Seeds Premium,Irrigation products,2,Sfax,2026-06,8.0,4.82,51,"ARIMA(1,1,1)",Stock level appears sufficient
13,3,Tomato Seeds Premium,Irrigation products,3,Beja,2026-06,3.0,4.69,51,"ARIMA(1,1,1)",Stock level appears sufficient
14,3,Tomato Seeds Premium,Irrigation products,4,Kairouan,2026-06,30.0,11.44,51,"ARIMA(1,1,1)",Stock level appears sufficient
15,3,Tomato Seeds Premium,Irrigation products,5,Gabes,2026-06,0.0,0.43,51,"ARIMA(1,1,1)",Stock level appears sufficient
16,4,Wheat Seeds Resistant,Seeds,1,Nabeul,2026-06,0.0,4.94,13,"ARIMA(1,1,1)",Stock level appears sufficient
17,4,Wheat Seeds Resistant,Seeds,2,Sfax,2026-06,0.0,0.0,13,"ARIMA(1,1,1)",Stock level appears sufficient
18,4,Wheat Seeds Resistant,Seeds,3,Beja,2026-06,5.0,10.31,13,"ARIMA(1,1,1)",Stock pressure expected
19,4,Wheat Seeds Resistant,Seeds,4,Kairouan,2026-06,0.0,7.83,13,"ARIMA(1,1,1)",Stock level appears sufficient
