forecast_id,product_id,product_name,category,zone_id,zone_name,forecast_month,historical_quantity,predicted_quantity,stock_quantity,forecast_method,recommendation_note
1,1,NPK Fertilizer 20-20-20,Fertilizers,1,Nabeul,2026-06,4.0,4.92,16,Historical monthly mean,Stock level appears sufficient
2,1,NPK Fertilizer 20-20-20,Fertilizers,2,Sfax,2026-06,0.0,4.08,16,Historical monthly mean,Stock level appears sufficient
3,1,NPK Fertilizer 20-20-20,Fertilizers,3,Beja,2026-06,12.0,6.83,16,Historical monthly mean,Stock level appears sufficient
4,1,NPK Fertilizer 20-20-20,Fertilizers,4,Kairouan,2026-06,0.0,5.0,16,Historical monthly mean,Stock level appears sufficient
5,1,NPK Fertilizer 20-20-20,Fertilizers,5,Gabes,2026-06,0.0,2.17,16,Historical monthly mean,Stock level appears sufficient
6,2,Organic Compost Mix,Soil treatment,1,Nabeul,2026-06,0.0,6.58,132,Historical monthly mean,Stock level appears sufficient
7,2,Organic Compost Mix,Soil treatment,2,Sfax,2026-06,0.0,3.17,132,Historical monthly mean,Stock level appears sufficient
8,2,Organic Compost Mix,Soil treatment,3,Beja,2026-06,0.0,8.58,132,Historical monthly mean,Stock level appears sufficient
9,2,Organic Compost Mix,Soil treatment,4,Kairouan,2026-06,21.0,5.33,132,Historical monthly mean,Stock level appears sufficient
10,2,Organic Compost Mix,Soil treatment,5,Gabes,2026-06,0.0,4.08,132,Historical monthly mean,Stock level appears sufficient
11,3,Tomato Seeds Premium,Irrigation products,1,Nabeul,2026-06,4.0,7.83,51,Historical monthly mean,Stock level appears sufficient
12,3,Tomato Seeds Premium,Irrigation products,2,Sfax,2026-06,8.0,4.92,51,Historical monthly mean,Stock level appears sufficient
13,3,Tomato Seeds Premium,Irrigation products,3,Beja,2026-06,3.0,3.83,51,Historical monthly mean,Stock level appears sufficient
14,3,Tomato Seeds Premium,Irrigation products,4,Kairouan,2026-06,30.0,5.67,51,Historical monthly mean,Stock level appears sufficient
15,3,Tomato Seeds Premium,Irrigation products,5,Gabes,2026-06,0.0,3.83,51,Historical monthly mean,Stock level appears sufficient
16,4,Wheat Seeds Resistant,Seeds,1,Nabeul,2026-06,0.0,4.25,13,Historical monthly mean,Stock level appears sufficient
17,4,Wheat Seeds Resistant,Seeds,2,Sfax,2026-06,0.0,5.75,13,Historical monthly mean,Stock level appears sufficient
18,4,Wheat Seeds Resistant,Seeds,3,Beja,2026-06,5.0,4.42,13,Historical monthly mean,Stock level appears sufficient
19,4,Wheat Seeds Resistant,Seeds,4,Kairouan,2026-06,0.0,6.67,13,Historical monthly mean,Stock level appears sufficient
20,4,Wheat Seeds Resistant,Seeds,5,Gabes,2026-06,0.0,4.33,13,Historical monthly mean,Stock level appears sufficient
21,5,Olive Tree Nutrient Pack,Irrigation products,1,Nabeul,2026-06,0.0,11.25,122,Historical monthly mean,Stock level appears sufficient
22,5,Olive Tree Nutrient Pack,Irrigation products,2,Sfax,2026-06,1.0,2.08,122,Historical monthly mean,Stock level appears sufficient
23,5,Olive Tree Nutrient Pack,Irrigation products,3,Beja,2026-06,0.0,4.75,122,Historical monthly mean,Stock level appears sufficient
24,5,Olive Tree Nutrient Pack,Irrigation products,4,Kairouan,2026-06,15.0,4.25,122,Historical monthly mean,Stock level appears sufficient
25,5,Olive Tree Nutrient Pack,Irrigation products,5,Gabes,2026-06,8.0,4.0,122,Historical monthly mean,Stock level appears sufficient
26,6,Anti-Fungal Treatment,Fertilizers,1,Nabeul,2026-06,0.0,8.17,57,Historical monthly mean,Stock level appears sufficient
27,6,Anti-Fungal Treatment,Fertilizers,2,Sfax,2026-06,12.0,3.5,57,Historical monthly mean,Stock level appears sufficient
28,6,Anti-Fungal Treatment,Fertilizers,3,Beja,2026-06,12.0,8.08,57,Historical monthly mean,Stock level appears sufficient
29,6,Anti-Fungal Treatment,Fertilizers,4,Kairouan,2026-06,2.0,4.5,57,Historical monthly mean,Stock level appears sufficient
30,6,Anti-Fungal Treatment,Fertilizers,5,Gabes,2026-06,3.0,5.33,57,Historical monthly mean,Stock level appears sufficient
31,7,Copper Fungicide,Soil treatment,1,Nabeul,2026-06,0.0,5.08,158,Historical monthly mean,Stock level appears sufficient
32,7,Copper Fungicide,Soil treatment,2,Sfax,2026-06,0.0,3.08,158,Historical monthly mean,Stock level appears sufficient
33,7,Copper Fungicide,Soil treatment,3,Beja,2026-06,0.0,3.25,158,Historical monthly mean,Stock level appears sufficient
34,7,Copper Fungicide,Soil treatment,4,Kairouan,2026-06,9.0,5.5,158,Historical monthly mean,Stock level appears sufficient
35,7,Copper Fungicide,Soil treatment,5,Gabes,2026-06,8.0,3.08,158,Historical monthly mean,Stock level appears sufficient
36,8,Drip Irrigation Kit,Irrigation products,1,Nabeul,2026-06,13.0,7.0,43,Historical monthly mean,Stock level appears sufficient
37,8,Drip Irrigation Kit,Irrigation products,2,Sfax,2026-06,8.0,3.42,43,Historical monthly mean,Stock level appears sufficient
38,8,Drip Irrigation Kit,Irrigation products,3,Beja,2026-06,0.0,3.42,43,Historical monthly mean,Stock level appears sufficient
39,8,Drip Irrigation Kit,Irrigation products,4,Kairouan,2026-06,0.0,5.0,43,Historical monthly mean,Stock level appears sufficient
40,8,Drip Irrigation Kit,Irrigation products,5,Gabes,2026-06,23.0,6.33,43,Historical monthly mean,Stock level appears sufficient
41,9,Water Retention Granules,Pesticides,1,Nabeul,2026-06,5.0,7.08,188,Historical monthly mean,Stock level appears sufficient
42,9,Water Retention Granules,Pesticides,2,Sfax,2026-06,0.0,4.58,188,Historical monthly mean,Stock level appears sufficient
43,9,Water Retention Granules,Pesticides,3,Beja,2026-06,0.0,6.0,188,Historical monthly mean,Stock level appears sufficient
44,9,Water Retention Granules,Pesticides,4,Kairouan,2026-06,11.0,5.58,188,Historical monthly mean,Stock level appears sufficient
45,9,Water Retention Granules,Pesticides,5,Gabes,2026-06,0.0,2.25,188,Historical monthly mean,Stock level appears sufficient
46,10,Soil PH Corrector,Fertilizers,1,Nabeul,2026-06,20.0,10.67,198,Historical monthly mean,Stock level appears sufficient
47,10,Soil PH Corrector,Fertilizers,2,Sfax,2026-06,0.0,3.42,198,Historical monthly mean,Stock level appears sufficient
48,10,Soil PH Corrector,Fertilizers,3,Beja,2026-06,4.0,5.25,198,Historical monthly mean,Stock level appears sufficient
49,10,Soil PH Corrector,Fertilizers,4,Kairouan,2026-06,19.0,5.08,198,Historical monthly mean,Stock level appears sufficient
50,10,Soil PH Corrector,Fertilizers,5,Gabes,2026-06,0.0,7.5,198,Historical monthly mean,Stock level appears sufficient
51,11,Drought Shield Bio,Fungicides,1,Nabeul,2026-06,12.0,8.58,218,Historical monthly mean,Stock level appears sufficient
52,11,Drought Shield Bio,Fungicides,2,Sfax,2026-06,8.0,2.17,218,Historical monthly mean,Stock level appears sufficient
53,11,Drought Shield Bio,Fungicides,3,Beja,2026-06,3.0,6.67,218,Historical monthly mean,Stock level appears sufficient
54,11,Drought Shield Bio,Fungicides,4,Kairouan,2026-06,0.0,5.0,218,Historical monthly mean,Stock level appears sufficient
55,11,Drought Shield Bio,Fungicides,5,Gabes,2026-06,0.0,2.42,218,Historical monthly mean,Stock level appears sufficient
56,12,Humidity Control Spray,Fungicides,1,Nabeul,2026-06,32.0,10.83,143,Historical monthly mean,Stock level appears sufficient
57,12,Humidity Control Spray,Fungicides,2,Sfax,2026-06,0.0,3.25,143,Historical monthly mean,Stock level appears sufficient
58,12,Humidity Control Spray,Fungicides,3,Beja,2026-06,0.0,8.0,143,Historical monthly mean,Stock level appears sufficient
59,12,Humidity Control Spray,Fungicides,4,Kairouan,2026-06,11.0,4.0,143,Historical monthly mean,Stock level appears sufficient
60,12,Humidity Control Spray,Fungicides,5,Gabes,2026-06,0.0,7.17,143,Historical monthly mean,Stock level appears sufficient
61,13,Potassium Booster,Fertilizers,1,Nabeul,2026-06,26.0,8.58,36,Historical monthly mean,Stock level appears sufficient
62,13,Potassium Booster,Fertilizers,2,Sfax,2026-06,0.0,5.5,36,Historical monthly mean,Stock level appears sufficient
63,13,Potassium Booster,Fertilizers,3,Beja,2026-06,0.0,5.42,36,Historical monthly mean,Stock level appears sufficient
