line_id,order_id,product_id,product_name,category,quantity,unit_price,line_total
1,1,10,Soil PH Corrector,Fertilizers,10,209.25,2092.5
2,1,19,Salinity Control Product,Soil treatment,12,128.4,1540.8
3,1,20,Greenhouse Pest Control,Fungicides,2,448.57,897.14
4,1,2,Organic Compost Mix,Soil treatment,4,42.11,168.44
5,2,8,Drip Irrigation Kit,Irrigation products,9,367.35,3306.15
6,2,6,Anti-Fungal Treatment,Fertilizers,2,270.94,541.88
7,3,10,Soil PH Corrector,Fertilizers,5,209.25,1046.25
8,3,2,Organic Compost Mix,Soil treatment,12,42.11,505.32
9,3,8,Drip Irrigation Kit,Irrigation products,8,367.35,2938.8
10,3,23,Seed Germination Booster,Irrigation products,2,440.06,880.12
11,4,14,Nitrogen Booster,Soil treatment,9,186.07,1674.63
12,4,4,Wheat Seeds Resistant,Seeds,4,222.64,890.56
13,5,2,Organic Compost Mix,Soil treatment,3,42.11,126.33
14,6,15,Citrus Growth Formula,Seeds,5,175.8,879.0
15,6,4,Wheat Seeds Resistant,Seeds,12,222.64,2671.68
16,6,23,Seed Germination Booster,Irrigation products,7,440.06,3080.42
17,7,3,Tomato Seeds Premium,Irrigation products,7,89.76,628.32
18,7,20,Greenhouse Pest Control,Fungicides,12,448.57,5382.84
19,7,2,Organic Compost Mix,Soil treatment,6,42.11,252.66
20,7,29,Climate Smart Pack,Seeds,10,88.41,884.1
21,8,25,Micro Elements Pack,Fertilizers,11,439.08,4829.88
22,9,16,Vegetable Root Stimulator,Soil treatment,11,399.05,4389.55
23,9,17,Cereal Yield Enhancer,Soil treatment,8,197.73,1581.84
24,10,21,Aphid Control Solution,Pesticides,8,122.98,983.84
25,10,27,Irrigation Filter Pack,Fungicides,6,169.8,1018.8
26,10,16,Vegetable Root Stimulator,Soil treatment,7,399.05,2793.35
27,10,3,Tomato Seeds Premium,Irrigation products,6,89.76,538.56
28,11,11,Drought Shield Bio,Fungicides,12,99.86,1198.32
29,11,14,Nitrogen Booster,Soil treatment,8,186.07,1488.56
30,12,15,Citrus Growth Formula,Seeds,2,175.8,351.6
31,13,28,Soil Moisture Sensor,Fertilizers,11,195.3,2148.3
32,13,17,Cereal Yield Enhancer,Soil treatment,9,197.73,1779.57
33,13,27,Irrigation Filter Pack,Fungicides,8,169.8,1358.4
34,13,1,NPK Fertilizer 20-20-20,Fertilizers,7,449.96,3149.72
35,14,21,Aphid Control Solution,Pesticides,4,122.98,491.92
36,14,15,Citrus Growth Formula,Seeds,5,175.8,879.0
37,14,25,Micro Elements Pack,Fertilizers,9,439.08,3951.72
38,14,2,Organic Compost Mix,Soil treatment,3,42.11,126.33
39,15,4,Wheat Seeds Resistant,Seeds,4,222.64,890.56
40,15,1,NPK Fertilizer 20-20-20,Fertilizers,12,449.96,5399.52
41,15,21,Aphid Control Solution,Pesticides,3,122.98,368.94
42,15,20,Greenhouse Pest Control,Fungicides,5,448.57,2242.85
43,16,8,Drip Irrigation Kit,Irrigation products,2,367.35,734.7
44,17,16,Vegetable Root Stimulator,Soil treatment,12,399.05,4788.6
45,17,30,Bio Stimulant Plus,Climate-adapted products,5,201.87,1009.35
46,18,16,Vegetable Root Stimulator,Soil treatment,3,399.05,1197.15
47,18,8,Drip Irrigation Kit,Irrigation products,7,367.35,2571.45
48,18,15,Citrus Growth Formula,Seeds,4,175.8,703.2
49,18,18,Palm Tree Fertilizer,Fungicides,10,215.47,2154.7
50,19,25,Micro Elements Pack,Fertilizers,7,439.08,3073.56
51,19,26,Crop Stress Reducer,Climate-adapted products,6,233.62,1401.72
52,19,28,Soil Moisture Sensor,Fertilizers,9,195.3,1757.7
53,20,27,Irrigation Filter Pack,Fungicides,8,169.8,1358.4
54,20,19,Salinity Control Product,Soil treatment,3,128.4,385.2
55,20,22,Mildew Protection Spray,Climate-adapted products,8,318.32,2546.56
56,21,15,Citrus Growth Formula,Seeds,4,175.8,703.2
57,21,30,Bio Stimulant Plus,Climate-adapted products,12,201.87,2422.44
58,21,11,Drought Shield Bio,Fungicides,4,99.86,399.44
59,21,28,Soil Moisture Sensor,Fertilizers,10,195.3,1953.0
60,22,2,Organic Compost Mix,Soil treatment,12,42.11,505.32
61,22,11,Drought Shield Bio,Fungicides,7,99.86,699.02
62,22,24,Foliar Nutrition Mix,Pesticides,7,101.26,708.82
63,22,16,Vegetable Root Stimulator,Soil treatment,11,399.05,4389.55
64,23,17,Cereal Yield Enhancer,Soil treatment,6,197.73,1186.38
65,23,19,Salinity Control Product,Soil treatment,2,128.4,256.8
66,24,1,NPK Fertilizer 20-20-20,Fertilizers,11,449.96,4949.56
67,24,24,Foliar Nutrition Mix,Pesticides,3,101.26,303.78
68,24,5,Olive Tree Nutrient Pack,Irrigation products,2,434.59,869.18
69,24,14,Nitrogen Booster,Soil treatment,8,186.07,1488.56
70,25,21,Aphid Control Solution,Pesticides,11,122.98,1352.78
71,25,3,Tomato Seeds Premium,Irrigation products,9,89.76,807.84
72,25,28,Soil Moisture Sensor,Fertilizers,7,195.3,1367.1
73,25,11,Drought Shield Bio,Fungicides,6,99.86,599.16
74,26,8,Drip Irrigation Kit,Irrigation products,11,367.35,4040.85
75,27,4,Wheat Seeds Resistant,Seeds,2,222.64,445.28
76,27,25,Micro Elements Pack,Fertilizers,8,439.08,3512.64
77,27,21,Aphid Control Solution,Pesticides,3,122.98,368.94
78,27,23,Seed Germination Booster,Irrigation products,12,440.06,5280.72
